"","Country","Pop"
"1","Austria",9104772
"2","Belgium",11754004
"3","Bulgaria",6447710
"4","Croatia",3850894
"5","Cyprus",920701
"6","Czech Republic",10827529
"7","Denmark",5932654
"8","Estonia",1365884
"9","Finland",5563970
"10","France",68070697
"11","Germany",84358845
"12","Greece",10394055
"13","Hungary",9597085
"14","Ireland",5194336
"15","Italy",58850717
"16","Latvia",1883008
"17","Lithuania",2857279
"18","Luxembourg",660809
"19","Malta",542051
"20","Netherlands",17811291
"21","Poland",36753736
"22","Portugal",10467366
"23","Romania",19051562
"24","Slovakia",5428792
"25","Slovenia",2116792
"26","Spain",48059777
"27","Sweden",10521556
